,,run_number,event_number,zenith,azimuth,energy,x,y,z,ShowerCOG_x,ShowCOG_y,m,s,t0,charge,chargePe,chargeVEM,chi2,sigmat0,sigmam,sigmas,feimpedance,spemean,pe_per_vem,angular_resolution,chi2_ldf,chi2_time,Laputop_dir_zenith,Laputop_dir_azimuth,Laputop_time,Laputop_pos_x,Laputop_pos_y
event_0,"OMKey(13,61,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,385.9200134277344,-290.1000061035156,1946.3299560546875,-100.35122962529053,-172.1764973371023,0.0,0.0,0.0,263746416.1850999,51.432098729963556,0.4737425148487091,0.0,0.0,0.0,0.0,8.010882310000003e-18,5128050.822305745,108.609,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(13,63,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,393.25,-283.55999755859375,1946.3199462890625,-100.35122962529053,-172.1764973371023,3.590973755147302,0.8657390732218784,9868.850073970765,405895264.4616187,76.81385091946258,0.6748090982437134,0.3033733940428746,4.235328856257596,0.1196233837433556,0.23638149242832895,8.010882310000003e-18,5284141.591692751,113.86,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(15,61,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-265.4100036621094,-305.0299987792969,1945.25,-100.35122962529053,-172.1764973371023,3.5966804005028234,0.8519462723855599,11548.670517678767,313910317.82544905,60.99219047105928,0.6435775756835938,0.34624783163983336,4.790352854354384,0.12036544934970626,0.24804011371548548,8.010882310000003e-18,5146729.694425372,94.7153,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(15,63,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-266.5799865722656,-314.82000732421875,1945.239990234375,-100.35122962529053,-172.1764973371023,0.0,0.0,0.0,139709214.2862492,26.989964848636784,0.2516341209411621,0.0,0.0,0.0,0.0,8.010882310000003e-18,5176339.245706934,107.268,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(16,61,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-182.3800048828125,-267.8599853515625,1945.1800537109375,-100.35122962529053,-172.1764973371023,3.7083725005985695,1.0059017450783065,11305.306638086593,1713100764.0830886,327.7300532141777,2.392054557800293,0.23282887295955904,3.719211383317513,0.13881714203980236,0.18946201831413362,8.010882310000003e-18,5227170.188641642,137.052,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(16,63,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-173.13999938964844,-263.5799865722656,1945.1400146484375,-100.35122962529053,-172.1764973371023,3.7814644959498693,0.9890246054670881,11276.601233849431,1575193907.2140462,301.4562773463322,2.6848442554473877,0.28453807569081313,4.3011835776099145,0.15948462178054942,0.211726378720222,8.010882310000003e-18,5225281.493821286,112.326,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(17,61,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-40.27000045776367,-242.77000427246094,1944.5699462890625,-100.35122962529053,-172.1764973371023,3.8981583595218554,0.6484096639143652,10921.377098289855,4400542293.427647,829.7140519817272,6.695507526397705,0.24009331896343916,7.386135192156787,0.07977605558032787,0.20512965040202835,8.010882310000003e-18,5303685.387655168,123.907,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(17,63,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,-30.90999984741211,-245.7899932861328,1944.6700439453125,-100.35122962529053,-172.1764973371023,3.8108928754717097,0.995865184495516,10905.625982242096,7004256631.694219,1336.529116920333,10.100411415100098,0.2220006219448102,2.567525000423252,0.12105242757920813,0.1616798998669449,8.010882310000003e-18,5240631.530597417,132.326,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(18,61,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,66.2300033569336,-226.9199981689453,1944.5400390625,-100.35122962529053,-172.1764973371023,3.8246220173251677,0.6989734940895211,10645.200079039994,1972144622.870119,383.4245884452477,3.945852756500244,0.35400185758235825,10.875914401550613,0.11117549789492528,0.2997632366594964,8.010882310000003e-18,5143500.657761644,97.193,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
event_0,"OMKey(18,63,0)",2721,7,0.8949396014213562,0.20011445681517515,7.071024386390169,75.58999633789062,-223.4600067138672,1944.6099853515625,-100.35122962529053,-172.1764973371023,4.134681003550418,0.7861503022923411,10621.339347451187,1848479813.8552675,351.4023543381204,2.733362913131714,0.2256907588443051,4.49170850576418,0.09793455443817287,0.14449932913453908,8.010882310000003e-18,5260294.335070546,128.58,1.4966922026781129,1.5463176447071818,2.6946967982949115,0.8974221145727301,0.2017818144330885,11005.40707312687,-89.86108996401154,-172.7271337029171
